Date,Speed,Altitude,Pressure,X,Y,Z,G,Latitude,Longitude,Heading,Magnetic Field,Sound Level,Luminance
"2018-07-26 15:51:48.173",0.000000,590.931042,948.597946,0.232834,-0.550598,-0.732666,0.945605,31.433752,-100.513297,75.707520,47.460150,48.689686,0.000000
"2018-07-26 15:51:48.273",0.000000,590.931042,948.597946,0.297226,-0.557144,-0.805466,1.023488,31.433752,-100.513297,75.707520,47.460150,49.123077,0.000000
"2018-07-26 15:51:48.372",0.000000,590.931042,948.597946,0.275970,-0.546875,-0.805847,1.012236,31.433752,-100.513297,75.707520,47.460150,54.876453,0.000000
"2018-07-26 15:51:48.470",0.000000,590.931042,948.597946,0.252670,-0.558243,-0.819534,1.023286,31.433752,-100.513297,75.707520,47.460150,52.258381,0.000000
"2018-07-26 15:51:48.570",0.000000,590.931042,948.597946,0.256989,-0.574127,-0.763184,0.988997,31.433752,-100.513297,75.707520,47.460150,50.400669,0.000000
"2018-07-26 15:51:48.673",0.000000,590.931042,948.597946,0.248795,-0.578522,-0.787628,1.008437,31.433752,-100.513297,75.707520,47.460150,47.627285,0.000000
"2018-07-26 15:51:48.771",0.000000,590.931042,948.597946,0.244263,-0.584625,-0.823334,1.038908,31.433752,-100.513297,75.707520,47.460150,48.744839,0.000000
"2018-07-26 15:51:48.872",0.000000,590.931042,948.597946,0.238358,-0.578796,-0.762085,0.986201,31.433752,-100.513297,75.707520,47.460150,52.419960,0.000000
"2018-07-26 15:51:48.970",0.000000,590.931042,948.600311,0.244492,-0.576126,-0.787949,1.006261,31.433752,-100.513297,75.707520,47.460150,50.377186,0.000000
"2018-07-26 15:51:49.071",0.000000,590.931042,948.600311,0.242065,-0.574707,-0.809311,1.021699,31.433752,-100.513297,75.707520,47.460150,48.289650,0.000000
"2018-07-26 15:51:49.172",0.000000,591.028454,948.600311,0.238617,-0.571030,-0.775482,0.992162,31.433752,-100.513297,75.707520,47.460150,50.719711,0.000000
"2018-07-26 15:51:49.272",0.000000,591.028454,948.600311,0.255524,-0.593643,-0.822128,1.045753,31.433752,-100.513297,75.707520,47.460150,51.849968,0.000000
"2018-07-26 15:51:49.372",0.000000,591.028454,948.600311,0.236908,-0.566772,-0.777786,0.991114,31.433752,-100.513297,75.707520,47.460150,52.175137,0.000000
"2018-07-26 15:51:49.470",0.000000,591.028454,948.600311,0.269424,-0.577896,-0.789764,1.015028,31.433752,-100.513297,75.707520,47.460150,50.382973,0.000000
"2018-07-26 15:51:49.572",0.000000,591.028454,948.600311,0.257217,-0.563919,-0.800339,1.012278,31.433752,-100.513297,75.707520,47.460150,51.008072,0.000000
"2018-07-26 15:51:49.668",0.000000,591.028454,948.600311,0.233032,-0.576797,-0.769974,0.989878,31.433752,-100.513297,75.707520,47.460150,49.573792,0.000000
"2018-07-26 15:51:49.771",0.000000,591.028454,948.600311,0.245438,-0.639984,-0.884094,1.118679,31.433752,-100.513297,76.718224,46.785524,51.850185,0.000000
"2018-07-26 15:51:49.870",0.000000,591.028454,948.600311,0.180344,-0.644882,-0.459717,0.812242,31.433752,-100.513297,61.850658,45.813825,49.206699,0.000000
"2018-07-26 15:51:49.970",0.000000,591.028454,948.601837,0.086227,-0.724518,-0.517258,0.894381,31.433752,-100.513297,62.896122,45.797347,49.067963,0.000000
"2018-07-26 15:51:50.072",0.000000,591.028454,948.601837,0.097046,-0.679001,-0.661011,0.952573,31.433752,-100.513297,74.861900,46.151911,53.682808,0.000000
"2018-07-26 15:51:50.172",0.000000,591.105724,948.601837,0.147964,-0.502823,-0.920258,1.059055,31.433752,-100.513297,71.572609,46.899213,51.973965,0.000000
"2018-07-26 15:51:50.272",0.000000,591.105724,948.601837,0.014008,-0.454803,-1.374069,1.447449,31.433752,-100.513297,68.876495,47.669442,51.475922,0.000000
"2018-07-26 15:51:50.371",0.000000,591.105724,948.601837,0.047455,-0.556900,-0.579758,0.805300,31.433752,-100.513297,73.588951,46.750805,49.457523,0.000000
"2018-07-26 15:51:50.470",0.000000,591.105724,948.601837,0.078781,-0.607498,-0.320648,0.691430,31.433752,-100.513297,62.456238,46.371552,51.120922,0.000000
"2018-07-26 15:51:50.572",0.000000,591.105724,948.601837,0.097214,-0.559433,-0.766693,0.954062,31.433752,-100.513297,70.327248,46.881640,51.512962,0.000000
"2018-07-26 15:51:50.670",0.000000,591.105724,948.601837,0.107239,-0.489273,-1.054672,1.167571,31.433752,-100.513297,68.741386,47.687411,51.330742,0.000000
"2018-07-26 15:51:50.769",0.000000,591.105724,948.601837,0.107330,-0.509125,-1.070129,1.189918,31.433752,-100.513297,69.867569,47.368342,49.306961,0.000000
"2018-07-26 15:51:50.872",0.000000,591.105724,948.604584,0.096619,-0.602600,-0.522598,0.803474,31.433752,-100.513297,71.665886,47.077072,49.340748,0.000000
"2018-07-26 15:51:50.969",0.000000,591.105724,948.604584,0.074402,-0.675186,-0.302505,0.743587,31.433752,-100.513297,62.561722,45.848913,50.242512,0.000000
"2018-07-26 15:51:51.072",0.000000,591.105724,948.604584,0.005493,-0.630463,-0.913849,1.110240,31.433752,-100.513297,70.142418,46.432028,50.555244,0.000000
"2018-07-26 15:51:51.173",0.000000,591.118786,948.604584,0.094711,-0.582336,-0.919266,1.092307,31.433752,-100.513297,69.048691,46.868197,50.136909,0.000000
"2018-07-26 15:51:51.272",0.000000,591.118786,948.604584,0.043808,-0.556320,-0.774277,0.954419,31.433752,-100.513297,69.048691,46.868197,49.341774,0.000000
"2018-07-26 15:51:51.372",0.000000,591.118786,948.604584,0.032211,-0.552933,-0.812012,0.982922,31.433752,-100.513297,69.048691,46.868197,49.564568,0.000000
"2018-07-26 15:51:51.470",0.000000,591.118786,948.604584,0.059753,-0.430710,-0.911682,1.010072,31.433752,-100.513297,69.048691,46.868197,51.415493,0.000000
"2018-07-26 15:51:51.572",0.000000,591.118786,948.604584,0.125595,-0.393921,-1.127487,1.200906,31.433752,-100.513297,67.930641,47.673453,49.653057,0.000000
"2018-07-26 15:51:51.672",0.000000,591.118786,948.604584,0.104050,-0.419998,-0.726028,0.845188,31.433752,-100.513297,69.625168,47.812975,49.092594,0.000000
"2018-07-26 15:51:51.772",0.000000,591.118786,948.604584,0.110092,-0.489914,-0.850861,0.987978,31.433752,-100.513297,69.625168,47.812975,49.364548,0.000000
"2018-07-26 15:51:51.872",0.000000,591.118786,948.614197,0.058029,-0.459900,-0.853012,0.970827,31.433752,-100.513297,69.625168,47.812975,48.287224,0.000000
"2018-07-26 15:51:51.972",0.000000,591.118786,948.614197,0.120972,-0.578354,-0.938568,1.109071,31.433752,-100.513297,70.919060,47.521918,51.775143,0.000000
"2018-07-26 15:51:52.073",0.000000,591.118786,948.614197,0.120972,-0.578354,-0.938568,1.109071,31.433752,-100.513297,73.662224,46.997791,51.263870,0.000000
"2018-07-26 15:51:52.173",0.000000,591.103649,948.614197,0.157547,-0.573105,-0.729828,0.941233,31.433752,-100.513297,75.034859,46.993298,49.039276,0.000000
"2018-07-26 15:51:52.273",0.000000,591.103649,948.614197,0.193680,-0.585724,-0.479889,0.781587,31.433752,-100.513297,75.034859,46.993298,47.338947,0.000000
"2018-07-26 15:51:52.372",0.000000,591.103649,948.614197,0.193817,-0.624908,-0.875351,1.092847,31.433752,-100.513297,75.034859,46.993298,50.931080,0.000000
"2018-07-26 15:51:52.480",0.000000,591.103649,948.614197,0.179092,-0.594421,-0.735794,0.962706,31.433752,-100.513297,75.034859,46.993298,49.249527,0.000000
"2018-07-26 15:51:52.577",0.000000,591.103649,948.614197,0.222366,-0.598602,-0.780228,1.008229,31.433752,-100.513297,75.034859,46.993298,50.476154,0.000000
"2018-07-26 15:51:52.671",0.000000,591.103649,948.614197,0.193283,-0.585342,-0.787994,1.000460,31.433752,-100.513297,75.034859,46.993298,49.484520,0.000000
"2018-07-26 15:51:52.769",0.000000,591.103649,948.614197,0.200958,-0.574356,-0.786316,0.994264,31.433752,-100.513297,75.034859,46.993298,49.658276,0.000000
"2018-07-26 15:51:52.871",0.000000,591.103649,948.614197,0.168961,-0.563629,-0.868942,1.049422,31.433752,-100.513297,75.034859,46.993298,53.030422,0.000000
"2018-07-26 15:51:52.972",0.000000,591.103649,948.614197,0.145950,-0.584793,-0.805893,1.006354,31.433752,-100.513297,75.034859,46.993298,50.903000,0.000000
"2018-07-26 15:51:53.072",0.000000,591.103649,948.614197,0.152298,-0.574005,-0.707062,0.923370,31.433752,-100.513297,75.034859,46.993298,48.868050,0.000000
"2018-07-26 15:51:53.173",0.000000,591.141125,948.614197,0.172104,-0.589478,-0.798477,1.007308,31.433752,-100.513297,73.910538,46.834954,51.130642,0.000000
"2018-07-26 15:51:53.270",0.000000,591.141125,948.614197,0.148209,-0.617340,-0.865738,1.073581,31.433752,-100.513297,75.175179,46.455806,55.732815,0.000000
"2018-07-26 15:51:53.373",0.000000,591.141125,948.614197,0.155762,-0.619354,-0.678497,0.931783,31.433752,-100.513297,75.175179,46.455806,52.826767,0.000000
"2018-07-26 15:51:53.471",0.000000,591.141125,948.614197,0.134521,-0.579666,-0.567184,0.822075,31.433752,-100.513297,72.556969,47.089829,49.583378,0.000000
"2018-07-26 15:51:53.573",0.000000,591.141125,948.614197,0.088394,-0.628998,-1.279877,1.428823,31.433752,-100.513297,71.341644,47.230691,48.768215,0.000000
"2018-07-26 15:51:53.671",0.000000,591.141125,948.614197,-0.000702,-0.468414,-0.457169,0.654535,31.433752,-100.513297,71.341644,47.230691,49.426296,0.000000
"2018-07-26 15:51:53.771",0.000000,591.141125,948.611908,0.127441,-0.677994,-1.362518,1.527211,31.433752,-100.513297,71.341644,47.230691,49.329418,0.000000
"2018-07-26 15:51:53.872",0.000000,591.141125,948.611908,0.042084,-0.452469,-0.368057,0.584778,31.433752,-100.513297,71.341644,47.230691,47.809353,0.000000
"2018-07-26 15:51:53.974",0.000000,591.141125,948.611908,0.255478,-0.765442,-1.449966,1.659389,31.433752,-100.513297,71.341644,47.230691,48.277431,0.000000
"2018-07-26 15:51:54.073",0.000000,591.141125,948.611908,-0.013504,-0.526230,-0.241608,0.579202,31.433752,-100.513297,71.341644,47.230691,50.742798,0.000000
"2018-07-26 15:51:54.174",0.000000,591.176403,948.611908,0.157318,-0.710464,-1.159592,1.369000,31.433752,-100.513297,71.341644,47.230691,50.362553,0.000000
"2018-07-26 15:51:54.274",0.000000,591.176403,948.611908,0.034332,-0.573227,-0.556686,0.799792,31.433752,-100.513297,71.341644,47.230691,48.011284,0.000000
"2018-07-26 15:51:54.371",0.000000,591.176403,948.611908,0.127380,-0.645081,-0.880417,1.098858,31.433752,-100.513297,71.341644,47.230691,46.475674,0.000000
"2018-07-26 15:51:54.471",0.000000,591.176403,948.611908,0.048828,-0.574860,-0.672821,0.886305,31.433752,-100.513297,71.341644,47.230691,50.592777,0.000000
"2018-07-26 15:51:54.571",0.000000,591.176403,948.611908,0.088730,-0.603958,-0.879578,1.070652,31.433752,-100.513297,71.341644,47.230691,51.508556,0.000000
"2018-07-26 15:51:54.673",0.000000,591.176403,948.611908,0.069199,-0.631683,-0.935333,1.130779,31.433752,-100.513297,72.508842,46.508372,49.408085,0.000000
"2018-07-26 15:51:54.770",0.000000,591.176403,948.611908,0.128052,-0.613251,-0.851273,1.056948,31.433752,-100.513297,72.508842,46.508372,48.073818,0.000000
"2018-07-26 15:51:54.872",0.000000,591.176403,948.611908,0.061813,-0.532883,-0.586212,0.794625,31.433752,-100.513297,71.001732,46.891364,49.693165,0.000000
"2018-07-26 15:51:54.972",0.000000,591.176403,948.611908,-0.081100,-0.670670,-0.702591,0.974684,31.433752,-100.513297,71.001732,46.891364,52.579395,0.000000
"2018-07-26 15:51:55.073",0.000000,591.176403,948.611908,0.055603,-0.680862,-0.830933,1.075693,31.433752,-100.513297,72.448174,46.898247,50.536011,0.000000
"2018-07-26 15:51:55.175",0.000000,591.180553,948.611908,0.253067,-0.640594,-0.981659,1.199191,31.433752,-100.513297,74.777130,46.928095,48.222332,0.000000
"2018-07-26 15:51:55.271",0.000000,591.180553,948.611908,0.361313,-0.726990,-1.064774,1.338956,31.433752,-100.513297,73.130760,46.850718,48.317242,0.000000
"2018-07-26 15:51:55.376",0.000000,591.180553,948.611908,0.175049,-0.698105,-1.003036,1.234534,31.433752,-100.513297,73.130760,46.850718,53.280903,0.000000
"2018-07-26 15:51:55.475",0.000000,591.180553,948.611908,0.072052,-0.478638,-0.922928,1.042152,31.433752,-100.513297,71.963280,46.907940,50.815620,0.000000
"2018-07-26 15:51:55.572",0.000000,591.180553,948.615112,-0.082092,-0.651138,-0.943588,1.149382,31.433752,-100.513297,73.868134,46.907151,51.742699,0.000000
"2018-07-26 15:51:55.675",0.000000,591.180553,948.615112,0.169174,-0.541168,-0.774002,0.959459,31.433752,-100.513297,73.868134,46.907151,48.777767,0.000000
"2018-07-26 15:51:55.774",0.000000,591.180553,948.615112,-0.052078,-0.612228,-0.910843,1.098713,31.433752,-100.513297,73.868134,46.907151,49.656185,0.000000
"2018-07-26 15:51:55.875",0.000000,591.180553,948.615112,-0.036118,-0.628647,-0.880447,1.082446,31.433752,-100.513297,73.868134,46.907151,53.990368,0.000000
"2018-07-26 15:51:55.973",0.000000,591.180553,948.615112,0.105606,-0.321503,-0.748337,0.821294,31.433752,-100.513297,74.587006,46.710478,52.972332,0.000000
"2018-07-26 15:51:56.074",0.000000,591.180553,948.615112,-0.042068,-0.748978,-1.066101,1.303575,31.433752,-100.513297,73.927643,46.825920,50.051643,0.000000
"2018-07-26 15:51:56.174",0.000000,591.175915,948.615112,-0.003387,-0.475174,-0.535919,0.716248,31.433752,-100.513297,73.927643,46.825920,51.263966,0.000000
"2018-07-26 15:51:56.273",0.000000,591.175915,948.615112,0.279648,-0.483978,-0.891678,1.052391,31.433752,-100.513297,73.927643,46.825920,50.919636,0.000000
"2018-07-26 15:51:56.374",0.000000,591.175915,948.615112,0.069427,-0.449173,-0.652939,0.795554,31.433752,-100.513297,72.558624,46.724500,51.140869,0.000000
"2018-07-26 15:51:56.474",0.000000,591.175915,948.615112,-0.110962,-0.677277,-1.156403,1.344724,31.433752,-100.513297,72.558624,46.724500,49.295589,0.000000
"2018-07-26 15:51:56.574",0.000000,591.175915,948.615112,-0.054672,-0.400360,-0.719742,0.825412,31.433752,-100.513297,71.266937,46.925329,47.545109,0.000000
"2018-07-26 15:51:56.675",0.000000,591.175915,948.615112,-0.008286,-0.627289,-0.801834,1.018085,31.433752,-100.513297,72.918846,46.754893,51.296921,0.000000
"2018-07-26 15:51:56.775",0.000000,591.175915,948.615112,0.094467,-0.405579,-0.446503,0.610559,31.433752,-100.513297,71.818619,46.806587,52.761173,0.000000
"2018-07-26 15:51:56.873",0.000000,591.175915,948.615112,0.029373,-0.490967,-0.676422,0.836336,31.433752,-100.513297,71.818619,46.806587,49.522758,0.000000
"2018-07-26 15:51:56.972",0.000000,591.175915,948.615112,0.100418,-0.639084,-1.010117,1.199520,31.433752,-100.513297,71.818619,46.806587,49.055038,0.000000
"2018-07-26 15:51:57.074",0.000000,591.175915,948.615112,0.061050,-0.629745,-1.025726,1.205164,31.433752,-100.513297,71.818619,46.806587,53.053291,0.000000
"2018-07-26 15:51:57.176",0.000000,591.266003,948.615112,0.232452,-0.580551,-0.816635,1.028575,31.433752,-100.513297,71.818619,46.806587,50.527172,0.000000
"2018-07-26 15:51:57.272",0.000000,591.266003,948.615112,0.046906,-0.595093,-0.716400,0.932505,31.433752,-100.513297,71.818619,46.806587,48.112595,0.000000
"2018-07-26 15:51:57.373",0.000000,591.266003,948.615112,0.004822,-0.507370,-0.548492,0.747189,31.433752,-100.513297,70.711922,46.262042,47.841740,0.000000
"2018-07-26 15:51:57.475",0.000000,591.266003,948.610306,-0.137100,-0.269135,-0.361206,0.470850,31.433752,-100.513297,70.260910,46.547165,50.169479,0.000000
"2018-07-26 15:51:57.572",0.000000,591.266003,948.610306,-0.285477,0.041885,0.315552,0.427580,31.433752,-100.513297,73.309814,46.779602,52.656124,0.000000
"2018-07-26 15:51:57.672",0.000000,591.266003,948.610306,-0.010895,-0.438721,-0.577667,0.725461,31.433752,-100.513297,74.541992,46.667504,50.415737,0.000000
"2018-07-26 15:51:57.774",0.000000,591.266003,948.610306,0.096832,-0.512314,-0.639572,0.825163,31.433752,-100.513297,75.649704,46.674919,48.600574,0.000000
"2018-07-26 15:51:57.873",0.000000,591.266003,948.610306,0.095169,-0.496445,-0.960922,1.085765,31.433752,-100.513297,76.904526,46.594771,49.891434,0.000000
"2018-07-26 15:51:57.972",0.000000,591.266003,948.610306,0.007339,-0.710953,-0.661331,0.971013,31.433752,-100.513297,77.920830,46.350360,53.895069,0.000000
"2018-07-26 15:51:58.072",0.000000,591.266003,948.610306,0.137192,-0.623703,-0.775375,1.004507,31.433752,-100.513297,77.920830,46.350360,50.995548,0.000000
"2018-07-26 15:51:58.173",0.000000,591.485607,948.610306,0.105774,-0.644943,-0.803741,1.035925,31.433752,-100.513297,77.920830,46.350360,52.447056,0.000000
"2018-07-26 15:51:58.274",0.000000,591.485607,948.610306,-0.061783,-0.360275,-0.384827,0.530761,31.433752,-100.513297,80.986191,46.186726,50.699158,0.000000
"2018-07-26 15:51:58.374",0.000000,591.485607,948.610306,0.305054,-0.800415,-1.082977,1.380783,31.433752,-100.513297,78.492805,46.332386,52.281643,0.000000
"2018-07-26 15:51:58.472",0.000000,591.485607,948.607941,0.144836,-0.689880,-1.005951,1.228352,31.433752,-100.513297,78.100426,46.387576,50.500557,0.000000
"2018-07-26 15:51:58.571",0.000000,591.485607,948.607941,-0.048706,-0.356644,-0.502670,0.618259,31.433752,-100.513297,78.100426,46.387576,52.653080,0.000000
"2018-07-26 15:51:58.672",0.000000,591.485607,948.607941,0.126114,-0.689056,-1.017807,1.235571,31.433752,-100.513297,75.117477,46.428064,49.787495,0.000000
"2018-07-26 15:51:58.771",0.000000,591.485607,948.607941,0.258026,-0.753632,-1.138260,1.389307,31.433752,-100.513297,77.640694,46.260867,52.424171,0.000000
"2018-07-26 15:51:58.874",0.000000,591.485607,948.607941,-0.123672,-0.323364,-0.159103,0.381016,31.433752,-100.513297,80.323463,46.668633,54.930424,0.000000
"2018-07-26 15:51:58.973",0.000000,591.485607,948.607941,0.024261,-0.465378,-0.781815,0.910164,31.433752,-100.513297,77.460228,46.330696,52.179913,0.000000
"2018-07-26 15:51:59.073",0.000000,591.485607,948.607941,0.187866,-0.686920,-1.079422,1.293176,31.433752,-100.513297,76.883812,46.363095,49.661610,0.000000
"2018-07-26 15:51:59.174",0.000000,591.707165,948.607941,0.170731,-0.696716,-1.041275,1.264443,31.433752,-100.513297,76.883812,46.363095,47.702072,0.000000
"2018-07-26 15:51:59.274",0.000000,591.707165,948.607941,0.034149,-0.567184,-0.849960,1.022398,31.433752,-100.513297,76.883812,46.363095,50.026775,0.000000
"2018-07-26 15:51:59.374",0.000000,591.707165,948.607483,0.196732,-0.670013,-1.163589,1.357042,31.433752,-100.513297,76.883812,46.363095,51.688896,0.000000
"2018-07-26 15:51:59.473",0.000000,591.707165,948.607483,0.157867,-0.487442,-0.788010,0.939937,31.433752,-100.513297,75.456116,46.407175,49.898941,0.000000
"2018-07-26 15:51:59.573",0.000000,591.707165,948.607483,0.294800,-0.630188,-0.979507,1.201449,31.433752,-100.513297,75.456116,46.407175,48.316525,0.000000
"2018-07-26 15:51:59.675",0.000000,591.707165,948.607483,0.256393,-0.453583,-1.058060,1.179392,31.433752,-100.513297,78.193802,47.198226,53.789181,0.000000
"2018-07-26 15:51:59.772",0.000000,591.707165,948.607483,0.111069,-0.470108,-0.770432,0.909342,31.433752,-100.513297,79.317390,46.963437,51.475285,0.000000
"2018-07-26 15:51:59.874",0.000000,591.707165,948.607483,0.218384,-0.461365,-0.952484,1.080636,31.433752,-100.513297,79.317390,46.963437,49.622181,0.000000
"2018-07-26 15:51:59.971",0.000000,591.707165,948.607483,0.127609,-0.488007,-0.846664,0.985533,31.433752,-100.513297,79.317390,46.963437,50.012547,0.000000
"2018-07-26 15:52:00.074",0.000000,591.707165,948.607483,0.084290,-0.512344,-0.850204,0.996217,31.433752,-100.513297,79.317390,46.963437,55.004662,0.000000
"2018-07-26 15:52:00.167",0.000000,592.024548,948.607483,0.063690,-0.523376,-0.845779,0.996656,31.433752,-100.513297,78.223785,46.937203,52.612923,0.000000
"2018-07-26 15:52:00.268",0.000000,592.024548,948.607483,0.132339,-0.477417,-0.870148,1.001298,31.433752,-100.513297,78.223785,46.937203,50.788933,0.000000
